,Rk,Unnamed: 1,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team_name
7,8,Andre Drummond,28,41,759,19.6,0.54,0.005,0.389,17.0,35.4,26.3,14.7,3.1,4.8,23.0,18.3,0.5,1.8,2.4,0.149,-1.4,2.1,0.7,0.5,PHI
8,9,Danny Green,34,29,688,11.2,0.583,0.858,0.062,2.6,9.4,6.0,6.5,2.8,3.3,13.5,12.6,0.3,0.9,1.2,0.082,-0.8,1.5,0.7,0.4,PHI
9,10,Shake Milton,25,27,668,12.9,0.516,0.311,0.189,2.2,11.1,6.7,17.2,1.5,1.5,10.1,20.6,0.3,0.6,0.9,0.062,-1.6,-0.4,-1.9,0.0,PHI
10,11,Isaiah Joe,22,31,388,8.1,0.499,0.757,0.165,1.1,9.3,5.3,7.9,1.2,0.5,6.1,15.2,0.1,0.2,0.3,0.04,-2.8,-1.5,-4.3,-0.2,PHI
11,12,Paul Reed,22,21,185,13.0,0.462,0.093,0.186,12.1,15.9,14.0,7.6,3.2,4.9,13.1,13.0,0.1,0.3,0.4,0.1,-4.0,1.5,-2.5,0.0,PHI
12,13,Charles Bassey,21,21,152,22.3,0.691,0.1,0.275,13.9,26.6,20.3,7.2,1.3,9.0,13.5,15.4,0.5,0.3,0.8,0.239,0.1,2.2,2.4,0.2,PHI
13,14,Charlie Brown Jr.,24,9,142,7.2,0.358,0.267,0.267,10.2,12.3,11.3,3.7,2.5,1.9,10.7,11.9,-0.1,0.2,0.1,0.021,-4.6,-0.2,-4.8,-0.1,PHI
14,15,Myles Powell,24,9,46,1.8,0.385,0.313,0.125,2.4,9.5,6.0,9.2,1.1,0.0,15.1,19.5,-0.1,0.0,-0.1,-0.104,-9.2,-2.6,-11.7,-0.1,PHI
15,16,Tyler Johnson,29,3,38,9.8,0.55,0.7,0.0,2.9,14.4,8.7,7.4,1.3,2.4,9.1,13.0,0.0,0.0,0.1,0.075,-2.3,0.3,-2.0,0.0,PHI
16,17,Aaron Henry,22,6,17,-7.4,0.2,0.2,0.0,0.0,6.4,3.2,0.0,0.0,10.7,28.6,18.5,-0.1,0.0,-0.1,-0.311,-13.8,-2.6,-16.4,-0.1,PHI
17,18,Braxton Key,24,2,6,9.5,0.5,0.5,0.0,18.6,18.2,18.4,25.7,8.3,0.0,50.0,30.0,0.0,0.0,0.0,-0.162,-9.3,3.2,-6.1,0.0,PHI
18,19,Jaden Springer,19,2,6,27.0,1.0,0.0,0.0,18.6,18.2,18.4,0.0,0.0,30.4,50.0,15.0,0.0,0.0,0.0,0.143,8.5,8.6,17.1,0.0,PHI
0,1,Miles Bridges,23,45,1620,17.8,0.577,0.384,0.239,3.5,18.5,10.8,14.6,1.4,2.4,9.7,22.6,2.6,1.2,3.8,0.114,1.5,-0.4,1.1,1.3,CHO
1,2,Gordon Hayward,31,45,1489,16.3,0.584,0.355,0.253,2.5,12.8,7.5,16.3,1.4,1.4,10.4,20.7,2.5,0.7,3.3,0.105,0.9,-1.0,-0.2,0.7,CHO
